px,py,lat,lon
1814,566,53.5374416666667,8.568105
1976,818,53.5344166666667,8.57755666666667
896,898,53.5334966666667,8.57785166666667
1624,768,53.5341583333333,8.57722
1084,556,53.53435,8.5679
1630,842,53.5340633333333,8.57765666666667
254,952,53.5331733333333,8.57808333333333
902,560,53.5336516666667,8.57039
1570,546,53.53627,8.56800333333333
1194,580,53.5343433333333,8.57136
1926,632,53.5356766666667,8.57406
856,564,53.53355,8.56980333333333
1396,608,53.5346066666667,8.57320833333333
664,816,53.53334,8.57716166666667
1564,564,53.5357333333333,8.57000666666667
784,542,53.53318,8.56616
2006,596,53.53716,8.57097833333333
1298,908,53.5337316666667,8.578005
1792,624,53.5352733333333,8.57397666666667
1952,792,53.5345183333333,8.57737833333333
1570,608,53.5349816666667,8.57343333333333
778,580,53.5333283333333,8.571195
1142,596,53.5340866666667,8.57285333333333
1902,642,53.53549,8.574255
1810,574,53.5366433333333,8.569985
826,546,53.5335233333333,8.56690166666667
1838,558,53.5378766666667,8.56692333333333
1342,1008,53.5337333333333,8.57821166666667
1808,610,53.53579,8.57280166666667
1822,984,53.5340016666667,8.57842333333333
1448,1024,53.5338,8.578325
1014,554,53.5333216666667,8.56849666666667
966,554,53.53383,8.56936666666667
1558,626,53.5348216666667,8.57408833333333
1680,594,53.53555,8.57226666666667
1894,640,53.5353933333333,8.57458333333333
1470,566,53.5354166666667,8.57026666666667
1436,606,53.5346466666667,8.57374166666667
2008,656,53.5354466666667,8.57525333333333
1868,618,53.5356516666667,8.57382666666667
1722,578,53.535945,8.57135333333333
1904,578,53.53715,8.56985833333333
698,1018,53.533405,8.57821833333333
844,552,53.533635,8.56713666666667
1726,892,53.534075,8.57795166666667
914,564,53.533625,8.5699
1840,582,53.536415,8.571035
1088,572,53.5341283333333,8.57063833333333
1146,570,53.5343566666667,8.570365
1194,574,53.534395,8.57109166666667
1130,558,53.5344133333333,8.56933166666667
1918,888,53.5340866666667,8.57809833333333
1294,950,53.5336666666667,8.57816666666667
1930,974,53.5340316666667,8.57843166666667
1926,624,53.5355666666667,8.574455
1798,844,53.5341083333333,8.57786
1974,642,53.5355033333333,8.57485333333333
1072,582,53.5340533333333,8.57228333333333
1978,656,53.5353916666667,8.57530833333333
1792,744,53.5344833333333,8.57718
792,550,53.53335,8.566005
1950,642,53.5354883333333,8.57466
1930,560,53.5385033333333,8.566715
1958,636,53.5355183333333,8.57466833333333
1090,556,53.534325,8.56898
1908,904,53.5341183333333,8.57813833333333
1620,960,53.5338733333333,8.57829833333333
166,954,53.5331383333333,8.57819
862,588,53.533575,8.57148
1460,558,53.53587,8.56686666666667
832,558,53.53334,8.56667666666667
1376,544,53.5356183333333,8.56719333333333
1388,576,53.5350366666667,8.57085
1986,636,53.53588,8.57392666666667
1274,870,53.5337683333333,8.57778333333333
1240,548,53.53493,8.56829
1296,856,53.5337516666667,8.57777833333333
1802,842,53.53418,8.57774666666667
1834,624,53.5355483333333,8.57375
1456,906,53.5338383333333,8.57791166666667
1628,586,53.5354166666667,8.57222166666667
658,800,53.5333316666667,8.577225
1596,570,53.5357683333333,8.57018333333333
898,910,53.5335183333333,8.57771
1112,874,53.5336633333333,8.57775166666667
